league,season,team,player,nation,pos,age,born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Cmp,Att,Cmp%,TotDist,PrgDist,ShtCmp,ShtAtt,ShtCmp%,MedCmp,MedAtt,MedCmp%,LngCmp,LngAtt,LngCmp%,Ast,xAG,xA,A-xAG,KP,FT,PPA,CrsPA,PrgP,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,FinalThird,CPA,Mis,Dis,Rec,PrgR,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
ENG-Premier League,2324,Arsenal,Aaron Ramsdale,ENG,GK,26-019,1998,6,6,540,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,131,188,69.7,3303,2420,38,38,100,61,62,98.4,32,86,37.2,0,0,0,0,0,4,0,0,2,188,153,35,16,0,0,0,0,0,0,0,0,131,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,3,2,197,140,186,11,0,0,197,0,0,,0,,137,697,399,0,0,0,1,0,104,0,540,90,15.8,6,6,90,6,0,,31,2.67,11,5,6,1,-0.75,11.1,5.8,5.3,0.89,-0.45,0,0,0,0,1,0,0,0,0,0,0,0,6,0,0,
ENG-Premier League,2324,Arsenal,Ben White,ENG,DF,26-238,1997,37,35,2988,33.2,4,4,8,4,0,0,8,0,1.2,1.2,3.8,5,44,192,162,0.12,0.12,0.24,0.12,0.24,0.03,0.11,0.15,0.03,0.15,4,13,6,46.2,0.39,0.18,0.31,0.67,13.2,0,0,0,1.2,1.2,0.09,2.8,2.8,1828,2177,84,28002,9801,999,1099,90.9,713,832,85.7,85,171,49.7,4,3.8,3.7,0.2,38,172,45,10,192,2177,1922,251,46,5,11,57,205,0,0,0,0,1828,4,21,86,2.59,76,5,1,2,0,2,7,0.21,6,0,0,1,0,0,48,28,20,22,6,26,58,44.8,32,48,22,26,32,80,77,1,2456,120,633,1165,676,64,2456,22,9,40.9,12,54.5,1321,4867,2672,44,34,9,26,9,1675,162,2988,81,87.4,33.2,35,85,27,2,7,0,2.32,81,26,55,1.66,0.2,67.4,24.7,42.7,1.29,0.13,8,0,0,19,12,11,57,32,28,0,0,0,120,36,22,62.1
ENG-Premier League,2324,Arsenal,Bukayo Saka,ENG,FW,22-271,2001,35,35,2919,32.4,16,9,25,10,6,6,4,0,15.5,10.8,10.5,21.2,155,126,508,0.49,0.28,0.77,0.31,0.59,0.48,0.32,0.8,0.33,0.65,16,102,31,30.4,3.14,0.96,0.1,0.32,16.3,0,6,6,15.5,10.8,0.11,0.5,-0.8,1143,1512,75.6,16891,4402,705,793,88.9,331,427,77.5,80,183,43.7,9,10.5,11,-1.5,91,39,73,12,126,1512,1365,138,7,4,3,181,12,119,99,0,0,1143,9,50,188,5.8,137,26,10,9,4,2,21,0.65,16,2,1,1,1,0,66,35,22,24,20,26,59,44.1,33,43,2,41,15,81,24,1,1952,37,182,474,1310,271,1946,122,49,40.2,54,44.3,1223,7180,3728,155,68,72,56,53,1393,508,2919,83,85.4,32.4,35,83,17,0,,0,2.29,78,27,51,1.57,-0.4,66.4,25,41.3,1.27,0.04,4,0,0,41,69,8,181,15,35,1,0,0,155,23,36,39
ENG-Premier League,2324,Arsenal,Cédric Soares,POR,DF,32-276,1991,3,0,62,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,60,69,87,905,157,39,41,95.1,15,17,88.2,5,8,62.5,0,0,0,0,0,4,0,0,3,69,61,8,2,0,0,4,6,0,0,0,0,60,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,69,0,10,47,12,0,69,0,0,,0,,37,139,69,0,0,0,0,0,56,6,62,21,1.8,0.7,0,,0,3,21,15,3,1,0,1,1.45,-0.18,0.9,0.5,0.4,0.62,-0.66,0,0,0,0,1,0,4,0,0,0,0,0,3,0,1,0
ENG-Premier League,2324,Arsenal,David Raya,ESP,GK,28-261,1995,32,32,2880,32,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,800,1068,74.9,19691,14108,228,231,98.7,387,391,99,183,439,41.7,0,0,0.1,0,0,30,0,0,2,1068,898,167,71,0,1,0,0,0,0,0,0,800,3,2,4,0.12,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,1,100,0,0,0,0,0,1,8,5,1099,764,1060,39,0,0,1099,0,0,,0,,728,3442,1992,0,0,0,1,0,637,0,2880,90,84.2,32,32,90,32,0,,3,2.28,80,24,56,1.75,0.75,65,22.1,42.9,1.34,0.45,2,0,0,0,4,0,0,0,1,0,0,0,38,5,1,83.3
ENG-Premier League,2324,Arsenal,Declan Rice,ENG,MF,25-140,1999,38,37,3225,35.8,7,8,15,7,0,0,5,0,3.3,3.3,5.3,8.6,75,278,64,0.2,0.22,0.42,0.2,0.42,0.09,0.15,0.24,0.09,0.24,7,58,20,34.5,1.62,0.56,0.12,0.35,20.4,2,0,0,3.3,3.3,0.06,3.7,3.7,2041,2295,88.9,34242,9378,958,1031,92.9,910,975,93.3,137,210,65.2,8,5.3,4.8,2.7,47,240,39,2,278,2295,2181,107,48,2,17,60,1,47,38,0,0,2041,7,26,100,2.79,71,16,3,5,0,5,12,0.33,6,5,0,1,0,0,83,51,37,38,8,32,57,56.1,25,37,11,26,44,127,52,0,2650,100,581,1398,696,67,2650,46,21,45.7,20,43.5,1675,10194,5139,75,70,16,31,22,1928,64,3225,85,94.3,35.8,37,87,29,1,24,0,2.34,84,28,56,1.56,-1.21,71.6,26.5,45.1,1.26,-0.18,5,0,0,34,13,2,60,44,51,0,2,0,178,39,43,47.6
ENG-Premier League,2324,Arsenal,Eddie Nketiah,ENG,FW,25-003,1999,27,10,1082,12,5,2,7,5,0,0,3,0,4.5,4.5,0.8,5.4,22,20,77,0.42,0.17,0.58,0.42,0.58,0.38,0.07,0.45,0.38,0.45,5,38,12,31.6,3.16,1,0.13,0.42,12.7,0,0,0,4.5,4.5,0.12,0.5,0.5,168,215,78.1,2332,267,98,118,83.1,60,72,83.3,3,4,75,2,0.8,0.7,1.2,9,7,5,0,20,215,199,16,0,3,0,5,1,0,0,0,0,168,0,10,28,2.33,17,0,3,5,3,0,8,0.67,3,0,1,1,3,0,12,7,2,6,4,2,7,28.6,5,11,0,11,4,16,4,0,371,5,18,148,207,75,371,30,8,26.7,15,50,236,1195,497,22,12,11,38,18,275,77,1082,40,31.6,12,10,78,3,17,18,11,2.15,24,10,14,1.16,-0.68,22.3,10.3,12.1,1,-0.39,3,0,0,24,28,8,5,4,7,2,0,0,24,23,27,46
ENG-Premier League,2324,Arsenal,Emile Smith Rowe,ENG,MF,23-310,2000,13,3,353,3.9,0,1,1,0,0,0,0,0,2,2,0.2,2.2,11,23,18,0,0.25,0.25,0,0.25,0.5,0.06,0.56,0.5,0.56,0,15,5,33.3,3.82,1.27,0,0,15.6,0,0,0,2,2,0.13,-2,-2,188,213,88.3,2449,496,128,143,89.5,54,57,94.7,1,4,25,1,0.2,0.4,0.8,4,13,11,0,23,213,207,6,3,0,1,1,1,1,0,0,0,188,0,2,13,3.31,10,1,0,1,1,0,2,0.51,1,1,0,0,0,0,4,1,2,2,0,2,4,50,2,3,1,2,3,7,1,0,253,1,21,106,127,19,253,7,3,42.9,3,42.9,154,827,472,11,8,1,6,4,189,18,353,27,10.3,3.9,3,76,0,10,13,18,2.23,12,3,9,2.29,0.74,7.8,2,5.8,1.47,0.22,0,0,0,5,2,0,1,3,1,0,0,0,15,3,5,37.5
ENG-Premier League,2324,Arsenal,Ethan Nwaneri,ENG,FW,17-073,2007,1,0,14,0.2,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,0,0,0,0,0,0,0.15,0.15,0,0.15,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,15,18,83.3,209,56,10,13,76.9,5,5,100,0,0,,0,0,0,0,1,1,2,0,2,18,18,0,0,0,0,0,0,0,0,0,0,15,0,0,1,6.43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,1,0,1,0,0,0,0,20,0,0,9,11,2,20,1,0,0,0,0,16,123,66,2,2,0,0,0,17,1,14,14,0.4,0.2,0,,0,1,14,1,3,0,0,0,0,-1.64,0,0.1,-0.1,-0.69,-1.97,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,100
ENG-Premier League,2324,Arsenal,Fabio Vieira,POR,"MF,FW",24-003,2000,11,2,297,3.3,1,2,3,0,1,1,0,1,1.3,0.5,1.6,2.1,12,15,30,0.3,0.61,0.91,0,0.61,0.38,0.49,0.87,0.14,0.64,1,6,1,16.7,1.82,0.3,0,0,18,0,1,1,1.3,0.5,0.08,-0.3,-0.5,122,150,81.3,1969,421,67,75,89.3,44,53,83,9,17,52.9,2,1.6,0.8,0.4,5,12,6,1,15,150,137,12,3,3,2,15,0,8,3,0,0,122,1,1,12,3.64,7,1,0,1,3,0,5,1.52,1,1,0,0,3,0,3,2,2,0,1,3,3,100,0,0,0,0,2,5,2,0,184,2,14,76,97,20,183,9,2,22.2,6,66.7,111,561,298,12,3,6,7,5,141,30,297,27,8.7,3.3,2,62,0,9,19,13,2.36,11,2,9,2.73,1.2,8.2,1.8,6.4,1.94,0.74,0,1,0,8,10,2,15,2,2,2,0,0,16,1,0,100
